Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J
P25632	reviewed	YCR052W
P16120	reviewed	YCR053W
P25355	reviewed	YCR054C
P25635	reviewed	YCR057C
P25637	reviewed	YCR059C
P25638	reviewed	YCR060W
P25639	reviewed	YCR061W
P25337	reviewed	YCR063W
P25364	reviewed	YCR065W
P10862	reviewed	YCR066W
P25365	reviewed	YCR067C
P25641	reviewed	YCR068W
P25334	reviewed	YCR069W
P25642	reviewed	YCR071C
P25382	reviewed	YCR072C
P25390	reviewed	YCR073C
P37262	reviewed	YCR073W-A
P17261	reviewed	YCR075C
Q3E830	reviewed	YCR075W-A
P25659	reviewed	YCR076C
P25644	reviewed	YCR077C
P25646	reviewed	YCR079W
P25648	reviewed	YCR081W
P25649	reviewed	YCR082W
P25372	reviewed	YCR083W
P16649	reviewed	YCR084C
P25651	reviewed	YCR086W
P37263	reviewed	YCR087C-A
P15891	reviewed	YCR088W
P25653	reviewed	YCR089W
P25654	reviewed	YCR090C
P25341	reviewed	YCR091W
P25336	reviewed	YCR092C
P25655	reviewed	YCR093W
P25656	reviewed	YCR094W
P25366	reviewed	YCR095C
Q3E787	reviewed	YCR095W-A
P0CY13	reviewed	YCR096C
P0CY11	reviewed	YCR097W
P25346	reviewed	YCR098C
P25657	reviewed	YCR099C
P25606	reviewed	YCR100C
P25607	reviewed	YCR101C
P25608	reviewed	YCR102C
P25610	reviewed	YCR104W
P25377	reviewed	YCR105W
P25611	reviewed	YCR106W
P25612	reviewed	YCR107W
Q03441	reviewed	YDL001W
Q03435	reviewed	YDL002C
Q12158	reviewed	YDL003W
Q12165	reviewed	YDL004W
Q12124	reviewed	YDL005C
P35182	reviewed	YDL006W
P40327	reviewed	YDL007W
Q12157	reviewed	YDL008W
Q12438	reviewed	YDL010W
Q12489	reviewed	YDL012C
P32828	reviewed	YDL013W
P15646	reviewed	YDL014W
Q99190	reviewed	YDL015C
P06243	reviewed	YDL017W
Q12403	reviewed	YDL018C
Q12451	reviewed	YDL019C
Q03465	reviewed	YDL020C
Q12008	reviewed	YDL021W
Q00055	reviewed	YDL022W
P52290	reviewed	YDL024C
Q12100	reviewed	YDL025C
Q07349	reviewed	YDL027C
P54199	reviewed	YDL028C
P32381	reviewed	YDL029W
P19736	reviewed	YDL030W
Q12389	reviewed	YDL031W
Q12093	reviewed	YDL033C
Q12361	reviewed	YDL035C
Q12069	reviewed	YDL036C
Q12140	reviewed	YDL037C
Q12459	reviewed	YDL039C
P12945	reviewed	YDL040C
P06700	reviewed	YDL042C
Q07350	reviewed	YDL043C
P10849	reviewed	YDL044C
P38913	reviewed	YDL045C
O75012	reviewed	YDL045W-A
Q12408	reviewed	YDL046W
P20604	reviewed	YDL047W
Q07351	reviewed	YDL048C
P50112	reviewed	YDL049C
P33399	reviewed	YDL051W
P33333	reviewed	YDL052C
Q07362	reviewed	YDL053C
Q07376	reviewed	YDL054C
P41940	reviewed	YDL055C
P39678	reviewed	YDL056W
Q07379	reviewed	YDL057W
P25386	reviewed	YDL058W
Q12223	reviewed	YDL059C
Q07381	reviewed	YDL060W
P41058	reviewed	YDL061C
Q07395	reviewed	YDL063C
P50623	reviewed	YDL064W
Q07418	reviewed	YDL065C
P21954	reviewed	YDL066W
P07255	reviewed	YDL067C
P14066	reviewed	YDL069C
Q07442	reviewed	YDL070W
Q07451	reviewed	YDL072C
Q07454	reviewed	YDL073W
Q07457	reviewed	YDL074C
P0C2H8	reviewed	YDL075W
Q07458	reviewed	YDL076C
Q07468	reviewed	YDL077C
P32419	reviewed	YDL078C
P50873	reviewed	YDL079C
Q07471	reviewed	YDL080C
P05318	reviewed	YDL081C
Q12690	reviewed	YDL082W
Q07478	reviewed	YDL084W
Q3E7B7	reviewed	YDL085C-A
Q07500	reviewed	YDL085W
Q07505	reviewed	YDL086W
Q07508	reviewed	YDL087C
Q05166	reviewed	YDL088C
Q12066	reviewed	YDL089W
P22007	reviewed	YDL090C
Q12229	reviewed	YDL091C
P38985	reviewed	YDL092W
P52867	reviewed	YDL093W
P33775	reviewed	YDL095W
Q12377	reviewed	YDL097C
Q12368	reviewed	YDL098C
Q12191	reviewed	YDL099W
Q12154	reviewed	YDL100C
P39009	reviewed	YDL101C
